potential_tier,customer_count,repeat_purchase_rate_90d,next90_raw_revenue,next90_robust_revenue,snapshot_date,next90_raw_revenue_per_customer,next90_robust_revenue_per_customer
High Potential,443,0.6997742663656885,196286.2,196286.2,2011-05-31,443.0839729119639,443.0839729119639
Medium Potential,664,0.5376506024096386,189143.25,189143.25,2011-05-31,284.8542921686747,284.8542921686747
Standard Potential,1107,0.2899728997289973,158642.89,137416.95,2011-05-31,143.30884372177056,124.13455284552846
High Potential,528,0.7727272727272727,334744.37,325173.91000000003,2011-08-31,633.9855492424242,615.8596780303031
Medium Potential,791,0.5815423514538559,270346.371,270346.371,2011-08-31,341.77796586599237,341.77796586599237
Standard Potential,1319,0.3661865049279757,303469.42,251187.95,2011-08-31,230.0753752843063,190.43817285822593
